#e2=10Uz, V	ic, mA
e2	ic
0	4.23
0.1	4.22
0.2	4.20
0.3	4.18
0.4	4.15
0.5	4.10
0.6	4.08
0.7	4.07
0.8	4.06
0.9	4.03
1	4.01
1.1	3.99
1.2	3.96
1.3	3.93
1.4	3.90
1.5	3.86
1.6	3.84
1.7	3.81
1.8	3.79
1.9	3.76
2	3.75
2.2	3.7
2.4	3.65
2.5	3.64
2.6	3.61
2.7	3.56
2.8	3.55
3	3.50
3.5	3.38
4	3.25
4.5	3.14
5	3.01
5.5	2.89
6	2.77
6.5	2.65
7	2.52
7.5	2.39
8	2.27
8.5	2.15
9	2.01
9.5	1.9
10	1.77
10.5	1.63
11	1.51
11.5	1.39
12	1.26
12.5	1.12
13	0.99
13.5	0.87
14	0.75
14.5	0.61
15	0.51
15.5	0.38
16	0.29
16.5	0.21
17	0.12
17.5	0.07
18	0.04
18.5	0.01
19.5	0
20.8	0
